2026-04-03 10:22:19 | INFO    | STEP 07 | Building non-surface overlap mask
2026-04-03 10:22:19 | INFO    | STEP 08 | Resolving overlaps and healing strip continuity
2026-04-03 10:22:20 | INFO    | STEP 08C | Width-aware path reconstruction from resolved mask
2026-04-03 10:22:20 | INFO    | STEP 08C | Estimated half-width=5 px
2026-04-03 10:22:20 | INFO    | STEP 08D | Centerline best-fit reconstruction from raw support
2026-04-03 10:22:20 | INFO    | STEP 08G | Geodesic linking of broken centerline components
2026-04-03 10:22:20 | INFO    | STEP 08D | Centerline half-width=6 px kept_components=1
2026-04-03 10:22:20 | INFO    | STEP 08B | Corridor continuity enforcement
2026-04-03 10:22:20 | INFO    | STEP 09 | Polygon preview from resolved mask
2026-04-03 10:22:20 | INFO    | STEP 10 | Writing diagnostics JSON
2026-04-03 10:22:20 | INFO    | STEP 11 | Done. Selected components=33 polygons=3
2026-04-03 10:22:20 | INFO    | STEP 11 | JSON: outputs\footpath_pixel_pipeline\footpath_pixel_pipeline.json
2026-04-03 10:23:35 | INFO    | STEP 01 | Loading footpath legend color
2026-04-03 10:23:35 | INFO    | STEP 01 | Footpath RGB from legend: (204, 204, 204)
2026-04-03 10:23:35 | INFO    | STEP 02 | Rendering PDF page at 300 DPI
2026-04-03 10:23:35 | INFO    | STEP 03 | Building raw RGB-distance mask
2026-04-03 10:23:36 | INFO    | STEP 04 | Removing page furniture regions
2026-04-03 10:23:36 | INFO    | STEP 04 | Removed legend block px bbox=(58,39,1320,1247)
2026-04-03 10:23:36 | INFO    | STEP 04 | Removed title strip height=273 px
2026-04-03 10:23:36 | INFO    | STEP 05 | Connected-components analysis
2026-04-03 10:23:36 | INFO    | STEP 05 | Components found (excluding background): 48
2026-04-03 10:23:36 | INFO    | STEP 05B | Seed mask mode=raw (from cleaned raw color mask)
2026-04-03 10:23:36 | INFO    | STEP 06 | Rendering baseline magenta overlay
2026-04-03 10:23:36 | INFO    | STEP 07 | Building non-surface overlap mask
2026-04-03 10:23:36 | INFO    | STEP 08 | Resolving overlaps and healing strip continuity
2026-04-03 10:23:36 | INFO    | STEP 08C | Width-aware path reconstruction from resolved mask
2026-04-03 10:23:36 | INFO    | STEP 08C | Estimated half-width=5 px
2026-04-03 10:23:36 | INFO    | STEP 08D | Centerline best-fit reconstruction from raw support
2026-04-03 10:23:37 | INFO    | STEP 08G | Geodesic linking of broken centerline components
2026-04-03 10:23:45 | INFO    | STEP 08D | Centerline half-width=2 px kept_components=1
2026-04-03 10:23:45 | INFO    | STEP 08B | Corridor continuity enforcement
2026-04-03 10:23:45 | INFO    | STEP 09 | Polygon preview from resolved mask
2026-04-03 10:23:46 | INFO    | STEP 10 | Writing diagnostics JSON
2026-04-03 10:23:46 | INFO    | STEP 11 | Done. Selected components=33 polygons=3
2026-04-03 10:23:46 | INFO    | STEP 11 | JSON: outputs\footpath_pixel_pipeline\footpath_pixel_pipeline.json
2026-04-03 10:37:19 | INFO    | STEP 01 | Loading footpath legend color
2026-04-03 10:37:19 | INFO    | STEP 01 | Footpath RGB from legend: (204, 204, 204)
2026-04-03 10:37:19 | INFO    | STEP 02 | Rendering PDF page at 300 DPI
2026-04-03 10:37:19 | INFO    | STEP 03 | Building raw RGB-distance mask
2026-04-03 10:37:19 | INFO    | STEP 04 | Removing page furniture regions
2026-04-03 10:37:19 | INFO    | STEP 04 | Removed legend block px bbox=(58,39,1320,1247)
2026-04-03 10:37:19 | INFO    | STEP 04 | Removed title strip height=273 px
2026-04-03 10:37:20 | INFO    | STEP 05 | Connected-components analysis
2026-04-03 10:37:20 | INFO    | STEP 05 | Components found (excluding background): 48
2026-04-03 10:37:20 | INFO    | STEP 05B | Seed mask mode=raw (from cleaned raw color mask)
2026-04-03 10:37:20 | INFO    | STEP 06 | Rendering baseline magenta overlay
2026-04-03 10:37:20 | INFO    | STEP 07 | Building non-surface overlap mask
2026-04-03 10:37:20 | INFO    | STEP 08 | Resolving overlaps and healing strip continuity
2026-04-03 10:37:20 | INFO    | STEP 08C | Width-aware path reconstruction from resolved mask
2026-04-03 10:37:20 | INFO    | STEP 08C | Estimated half-width=5 px
2026-04-03 10:37:20 | INFO    | STEP 08D | Centerline best-fit reconstruction from raw support
2026-04-03 10:37:20 | INFO    | STEP 08G | Geodesic linking of broken centerline components
2026-04-03 10:37:22 | INFO    | STEP 08D | Centerline half-width=2 px kept_components=1
2026-04-03 10:37:22 | INFO    | STEP 08B | Corridor continuity enforcement
2026-04-03 10:37:22 | INFO    | STEP 09 | Polygon preview from resolved mask
2026-04-03 10:37:22 | INFO    | STEP 10 | Writing diagnostics JSON
2026-04-03 10:37:22 | INFO    | STEP 11 | Done. Selected components=33 polygons=3
2026-04-03 10:37:22 | INFO    | STEP 11 | JSON: outputs\footpath_pixel_pipeline\footpath_pixel_pipeline.json
